Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL541105,,CC(c1cccc2c1cccc2)c3c[nH]cn3.Cl,,258.75,6.3,,2.9,3,2
CHEMBL576556,,c1ccc2c(c1)n(c(=N)n2CC(COc3ccc(cc3)Cl)O)CCN4CCCCC4.Cl,,465.42,12.4,,1.4,2,0.1
CHEMBL1081913,,CC(C)(C)OC(=O)N1CCC(CC1)OCc2nc(no2)c3ccncc3,,360.41,3.8,,2.6,2,44.5
CHEMBL1076356,,CC1(CON(C1=O)Cc2ccccc2Cl)C,CLOMAZONE,239.7,,,2,1,69.2
CHEMBL1201159,,CCC(=O)N(c1ccccc1)C2CCN(CC2)CCc3ccccc3.Cl,FENTANYL HYDROCHLORIDE,372.93,8.6,,2.7,2,10.7
CHEMBL1201273,,CC(Cc1ccc2c(c1)OCO2)NCC(c3ccc(c(c3)O)O)O,PROTOKYLOL,331.36,8.3,9.6,1,2,2.3
CHEMBL1213352,,C#CCN1c2ccc(cc2C(=NCC1=O)c3ccccc3)Cl,PINAZEPAM,308.76,3.2,,2.8,2,54.8
CHEMBL1255648,,c1cc2c(cc1C(=O)N3CCCCC3)OCCO2,,247.29,,,1.5,1,91.6
CHEMBL1256695,,CNCCC(c1ccccc1)Oc2ccccc2OC.Cl,NISOXETINE HYDROCHLORIDE,307.82,9.7,,1,2,20
CHEMBL1320043,,Cc1csc2c1ncnc2N3CCCCC3,,233.33,6.7,,3.2,2,6.5
CHEMBL1360370,,c1cc(sc1)Cn2c(nnn2)CN3CCC(CC3)(c4ccc(cc4)F)O,,373.45,4.6,,2.1,3,46.3
CHEMBL1363423,,CCOC(=O)Cc1csc2n1nc(n2)c3ccccc3,,287.34,,,2.8,3,29.8
CHEMBL1377258,,c1ccc(cc1)OCC(=O)Nc2nnc(o2)c3ccco3,,285.25,,7.9,2.1,3,26.3
CHEMBL1377408,,c1cc(ccc1OCC(=O)N2CCN(CC2)Cc3ccc4c(c3)OCO4)Cl.Cl,FIPEXIDE HYDROCHLORIDE,425.31,6.6,,3,2,0.9
CHEMBL1382302,,c1cc(cc(c1)OCc2cn3cccnc3n2)[N+](=O)[O-],,270.24,4.7,,2.2,3,7.3
CHEMBL1401665,,Cc1c(c(=O)nc(n1c2ccccc2O)C)c3ccccc3,,292.33,3.7,10.1,1.5,2,94.6
CHEMBL1402633,,c1ccc2c(c1)c3c(o2)c(ncn3)NCCCn4ccnc4.Cl,,329.78,7.4,,2.5,4,0.1
CHEMBL1414111,,c1cc(ccc1C(=O)Cn2c(=O)c(c(cn2)N3CCOCC3)Cl)Cl,,368.21,3.5,,2.2,1,20.6
CHEMBL1428380,,Cn1c2c(c(=O)n(c1=O)C)C(C(=O)N2)CC(=O)Nc3ccccc3OC,,358.35,,5.8,0.2,1,72.6
