Compound ChEMBL ID and structure,,SMILES,Compound generic name, Molar mass (g/mol),Basic pKa,Acidic pKa,LogD,Number of aromatic rings,Melanin binding Fraction unbound (%)
CHEMBL1359594,,c1ccc(c(c1)c2nc(no2)c3ccccc3F)C(=O)NCC4CCCO4,,367.37,,11.6,3.1,3,76.7
CHEMBL1364471,,c1cc2c(cc1Cl)ncnc2Oc3ccc(cn3)NC(=O)CCC(=O)O,,372.76,,4,0.1,3,34.1
CHEMBL1367143,,CC(c1ccccc1)Nc2c3c([nH]cn3)ncn2,,239.28,4.4,9.6,2.4,3,43.6
CHEMBL1369487,,c1ccc(cc1)c2ccc(cc2)c3csc4c3c(=O)[nH]cn4,,304.37,2.3,10.8,3.6,3,2.4
CHEMBL1369494,,Cn1c2c(cn1)c3nc(nn3cn2)Cc4ccc(cc4)OC,,294.31,,,2.1,4,9.4
CHEMBL1370663,,CC1=NN=C(c2cc3c(cc2C1)OCO3)c4ccc(cc4)N.Cl,,329.78,8.5,,1.7,2,8.7
CHEMBL1371770,,c1cnc(nc1)N2CCN(CC2)Cc3ccc4c(c3)OCO4,PIRIBEDIL,298.34,7.1,,2.4,2,5.3
CHEMBL1373952,,CCc1c(nc2cc(nn2c1O)c3cccs3)C,,259.33,,8.8,3.1,3,6.7
CHEMBL1377910,,CC1(Cc2c(sc3c2c(=O)[nH]c(n3)SC)CO1)C,,282.38,,9.8,2.7,1,32.2
CHEMBL1381322,,COc1ccc2c(c1)sc(n2)NC(=O)c3cccs3,,290.36,,8.4,3.5,3,0.5
CHEMBL1384456,,c1ccc(cc1)COC(=O)CSc2c(c(c(c(n2)N)C#N)c3ccco3)C#N,,390.42,,,3.3,3,1.5
CHEMBL1386200,,CCOC(=O)c1nn(c2n1c(=O)cc(n2)Nc3ccccc3)c4cccc(c4)OC,,405.41,3.7,,3.1,2,1.3
CHEMBL1391415,,Cc1cc(n2c(n1)nc(n2)NCc3cccc(c3)OC)C,,283.33,3.9,,2.6,3,32.9
CHEMBL1400795,,CC(=O)c1c(c2ccccc2s1)OC(=O)c3ccco3,,286.3,,,3,3,12
CHEMBL1401738,,COc1ccccc1N2CCN(CC2)Cc3ccc(o3)c4ccccc4[N+](=O)[O-],,393.44,6.8,,3.1,3,1.1
CHEMBL1404392,,Cc1ccc(cc1)c2cc(no2)C(=O)Nc3cc(on3)C,,283.28,12.2,,2.4,2,5.7
CHEMBL1406363,,c1cc(ccc1c2cnn3c2nc(c(c3)CCN4CCOCC4)c5ccc(cc5)F)F,,420.45,6.7,,3.3,4,0.5
CHEMBL1407280,,Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)c3cc(on3)c4ccccc4O,,390.39,,8.3,2.3,3,16.3
CHEMBL1408489,,Cc1nc2ccccc2c3n1nc(n3)NC(=O)Cc4ccccc4,,317.34,4.9,,3.1,2,5
CHEMBL1408594,,CCN(CCCc1ccccc1)CCCc2ccccc2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,ALVERINE CITRATE,473.56,9.4,,2.7,2,9.6
CHEMBL1408709,,CCCc1ncc(n1C)C(c2ccccc2OC)O,,260.33,6.9,,1.8,2,87.6
CHEMBL1408724,,C=CCn1c2ccccc2c3c1nc(nn3)SCCN4CCCCC4,,353.48,9.2,,2,3,0.2
CHEMBL1409758,,c1ccc2c(c1)c(nc(n2)c3cccnc3)NCCN4CCOCC4,,335.4,7,,2.2,3,0.1
CHEMBL1409850,,c1cc(cnc1)CNc2c(nc(o2)c3ccco3)C#N,,266.25,4.4,,2.1,3,6.9
CHEMBL1411693,,Cc1cc(nc(n1)n2c(cc(n2)C)OC)OC,EPIRIZOLE,234.25,2.2,,2.1,2,84.7
CHEMBL1412305,,CC(Cc1cccc(c1)C(F)(F)F)NCCOC(=O)c2ccccc2.Cl,BENFLUOREX HYDROCHLORIDE,387.82,9.3,,2.5,2,2.7
CHEMBL1413383,,c1cc2c(c(c1)Cl)nc(s2)N,,184.65,2.6,,2.5,2,42.7
CHEMBL1414153,,c1ccc2c(c1)ncn2CCn3cnc4c3cccc4,,262.31,5.8,,2.6,4,12.2
CHEMBL1417614,,c1cc(ccc1c2cnn3c2ncc(c3N)C(=O)O)Cl,,288.69,3.2,5.1,-0.2,3,47.4
CHEMBL1424493,,c1cc(ccc1c2c(cnc(n2)N)n3cncn3)Cl,,272.69,4.4,,2,3,49.8
CHEMBL1425656,,CCCc1nnc(s1)NC(=O)c2cc3ccccc3oc2=O,,315.35,3.3,6.7,2.1,2,1.1
CHEMBL1429914,,c1cc(ccc1CNC2CN3CCC2CC3)Cl.Cl,,287.23,9.4,,1,1,2.7
CHEMBL1437764,,CC(C)(C)C(=O)C(n1ccnc1)Oc2ccc(cc2)Cl,CLIMBAZOLE,292.76,5.7,,3.1,2,68.5
CHEMBL1439099,,CCN(CC)CCOC(=O)C(Cc1cccc2c1cccc2)CC3CCCO3.C(=O)(C(=O)O)O,NAFRONYL OXALATE,473.56,8.5,,2.9,2,4
CHEMBL1440824,,Cc1cc(n[nH]1)NC(=O)NC(=O)c2cccc(c2)OC,,274.28,11.7,4.8,0.8,1,3.1
CHEMBL1442422,,CN1c2ccccc2C(=O)N(c3c1cccc3)CCN(C)C,DIBENZEPIN,295.38,7.7,,2.2,2,15.7
CHEMBL1445038,,c1cc(cc(c1)Cl)CN2CCCCCC2,,223.74,8.2,,2.5,1,28.7
CHEMBL1445456,,Cn1c2ccccc2nc1CNc3nc4ccccc4n3C,,291.35,6.3,,2.4,4,0.9
CHEMBL1446987,,CC(C)C(=O)Nc1ccc(c(c1)OC)NC(=O)c2ccco2,,302.33,,10.1,2.7,2,62.1
CHEMBL1448385,,COc1ccc(c(c1)OC)NC(=O)CSc2[nH]c3c(n2)cccn3,,344.39,4.6,9.2,2.4,3,9.3
CHEMBL1448649,,c1cc2c(cc1NC(=O)NCCCn3ccnc3)OCO2,,288.3,6.6,,1.4,2,1.9
CHEMBL1452696,,CC(=CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3)C,FEPRAZONE,320.39,,5.5,1.4,2,15.5
CHEMBL1455628,,CCc1nc2c(c(cs2)c3ccccc3)c(=O)n1N,,271.34,3.4,,2.6,2,25.6
CHEMBL1457918,,COCCN1CCn2c3ccc(cc3nc2C1)NC(=O)c4ccc(cc4)OC,,380.44,6.6,10.9,2.3,3,1.2
CHEMBL1458172,,c1cc2c(cc1CN3CCN(CC3)c4c5c([nH]cn5)ncn4)OCO2,,338.36,6.9,9.4,1.9,3,0.3
CHEMBL1459564,,Cc1cccc2c1nc(cc2Nc3ccc(cc3)N4CCOCC4)C.Cl,,369.89,8.5,,2.8,3,0.3
CHEMBL1461920,,CC1(Cc2ccccc2C(=N1)NNC(=O)c3ccccc3)C,,293.36,9.4,11.4,1.5,2,22.8
CHEMBL1471300,,Cc1cc2c(ncnc2s1)Nc3ccc(cc3)OC.Cl,,307.8,4.5,,3.6,3,4.4
CHEMBL1476337,,COc1ccc(c(c1OC)OC)CN2CCNCC2.Cl,,302.8,9.5,,-0.1,1,14.6
CHEMBL1483004,,Cc1c2ccccc2oc1C(=O)Nc3ccncc3,,252.27,5.9,11.6,3.2,3,0.2
CHEMBL1484090,,c1ccc(cc1)Cc2nc3ccccc3c4n2nc(n4)N,,275.31,6.9,,2.3,4,10.9
CHEMBL1484499,,Cn1c2ccccc2nc1COc3c4ccccc4c(nn3)c5ccc(cc5)OC,,396.44,5.6,,3.7,5,3.6
CHEMBL1486886,,C=CCn1c(n[nH]c1=S)Cc2[nH]c3ccccc3n2,,271.34,5.2,7.1,1.9,2,6.2
CHEMBL1488825,,Cc1c(n(c2c1c(ncn2)NCCCN(C)C)Cc3ccccc3)C,,337.46,9.2,,1.8,3,0.7
CHEMBL1489029,,Cc1nc2ccccc2n1CCOc3ccccc3,,252.31,6.4,,3.1,3,34.9
CHEMBL1490469,,c1ccc(cc1)C(c2ccccc2)N3CCNCC3,,252.35,9.4,,1.2,2,28.6
CHEMBL1492516,,c1ccc(cc1)C(c2ccc(cc2)Cl)OCCN3CCCCC3.Cl,CLOPERASTINE HYDROCLORIDE,366.32,8.7,,3.1,2,12.3
CHEMBL1497717,,Cc1c(c(on1)/C=C/c2cccnc2)[N+](=O)[O-],,231.21,4.2,,1.9,2,26.6
CHEMBL1498453,,Cc1c2cc(c(=O)[nH]c2n(n1)c3ccccc3)CNCc4ccc5c(c4)OCO5,,388.42,6.9,11.4,2.4,3,0.2
